island,대분류,중분류,소분류,Question,Answer
개도,역사와 문화,역사적 연혁,역사,개도의 역사에 대해 시대순으로 설명해 줘.,"삼국시대의 개도는 백제에 편입되어 삽평군 예하의 돌산현에 속한 섬이었다. 5세기 중반에 이르면서가야국이 남원과 섬진강 하류지방에 진출함에 따라 일시적으로 대가야에 편입되었다. 이때의 여수지역은 도서지역이 하다리현으로 둔병도는 하다리현에 속하였다.
 통일신라시대에 둔병도는 여산현에 속하였고, 고려시대의는 돌산현에 속하엿다.
 조선시대에는 순천부 소속이었으나 실제로는 돌산포만호진의 통제하에 있다가 중종 때 돌산포만호진이 혁파되고, 방답첨사진이 설진됨에 따라 고종32년(1895) 전라좌수영이 혁파될 때까지 전라좌수영이 통제를 받게 되었다.
 고종 33년 (1896) 2월 3일 칙령 제13호에 의하여 화정면은 화개면과 옥정면으로 분리되어 설치되었는데 둔병도는 옥정면에 속하였다. 돌산군은 1914년 3월 1일, 18년 만에 폐군되었고, 여수군으로 통합되면서 화개면과 옥정면도 합면이 되어 화정면이 되어 둔병도 역시 화정면 소속이 되었다. 1949년 여수군이 여수시로 승격되면서 여수군 화정면에 속하였다가 1998년 3여 통합으로 여수시 화정면에 속한다."
개도,역사와 문화,역사적 연혁,문헌 기록,옛날 문헌이나 지도에 개도에 대한 기록이 남아있어?,"개도는 『세종실록』지리지 순천도호부조에 “바다에 있는 섬(海島)으로 돌산·개도·금오도 셋이 있다.”라는 기록에서 처음 나타난다.
『신증동국여지승람』, 『동국여지지』, 『여지도서』에는 “개도는 제리도 동쪽에 있으며, 주위가 20리이다.”라고 간단한 위치와 면적만을 기록하고 있다.""고 기록하고 있다.
한편, 『여산지(廬山志)』에는 “개도는 돌산군의 남쪽에 있는 큰 섬으로 화개산의 옛 이름이 있고 … 대동, 월항, 여석, 혼역, 모전의 다섯 마을이 있다.”라고 기록하고 있다.
1663년(현종 4년) 사복시(司僕寺) 제조(提調)였던 허목(許穆)이 편찬한 「목장도(牧場圖)」에는 여수지역의 목장과 관련된 기록이 보이는데, 이 지도에서 17세기 이전 개도에 목장이 있었음을 확인할 수 있다."
개도,역사와 문화,유적 및 유물,대표 문화유산,개도에서 과거에 있었던 중요한 사건이 있다면 알려줘.,"질자호 침몰사건은 어선을 개조하여 만든 여객선인 질자호(30톤급)가 장군도 앞에서 침몰한 사건으로 질자호는 여수에서 화양면 세포를 거쳐 백야, 제도, 개도의 여석, 화산, 자봉을 왕래하는 정기여객선으로 한때는 상화, 하화, 사도, 낭도, 고흥 상포까지 취항한 때도 있었다. 
1971년 1월 7일 오전 11시 20분경 여수 입구 장군도와 남광조선소 사이에서 남선제빙공장에서 얼음을 선적하고 나오던 대일활어선 운반선인 제12삼양호(60톤)와의 충돌로 질자호가 침몰하였다.
이날 질자호 선장 삼돌(47)이 오전 7시 35분 개도를 출발 제도, 백야, 세포, 원포를 귀항하고 마지막 화양면 안정리를 경유하여 승객 94명(선원 6명 포함)을 태우고 여수항으로 귀항하다가 좁은 도에서 삼양호와 충돌하여 강한 충격을 받자 선체가 기울어지면서 순식간에 침몰하였다. 32명이 사망하고 62명이 구조되었다.  당시 개도는 질자호 침몰사고로 주민 15명이 목숨을 잃었는데 특히 호령마을 사람들이 많았다고 한다. 사망자의 대부분은 김을 팔러 여수시내로 나가다 변을 당한 것이다"
개도,역사와 문화,유적 및 유물,,제도의 가장 대표적인 문화유산은 뭐야?,"여석마을에서 동쪽 운구지 마을로 가는 길에는 두 기의 벅수가 세워져 있다. 이 벅수는 마을 어린이들이 질병에 자주 시달리자 그 원인을 귀신의 짓으로 생각하여 잡귀 잡신을 모두 마을 밖으로 쫓아내고자 동구 밖에 1921년(신유년) 3월 30일 세워진 것으로 알려져 있다.
벅수의 생김새로 보아 시골의 할아버지와 할머니를 연상할 수 있다. 여석마을 사람들은 할아버지, 할머니 벅수라고 부르고 있다. 실제 벅수에 새겨진 남정중과 화정려는 사마천   의 『사기』와 증선지의 『십팔사략』에 등장하는 명칭이다. 남정과 화정은 관직명이고, 중과 려는 이름으로 남   정중은 하늘을 관장하고 화정려는 땅을 관장한다. 
 두 벅수 모두 옛날 벼슬아치들이 썼던 모자나 군인들이 썼던 전립(戰笠)이 없는 민머리형이다.
할아버지 모양을 한 벅수는 바다를 바라보고 있는데, 170cm 크기에 머리가 89cm로, 일반 사람에 비해 머리가 큰 편이다. 이마와 머리 사이에 약간의 턱을 주었으나 정확히 사모를 표현한 것으로 보인다. 머리를 크게 한 것은 얼굴 모습을 좀 더 자세히 표현하고자 했기 때문으로 보이는데, 눈은 수평 방향으로 긴 타원형이지만 수직적으로도 약간 높여 퉁방울 모양이며, 코는 삼각형으로 높고 크게 나타내 과장된 모습이다. 입은 활짝 벌려 웃는 모습을 표현했는데, 이빨 사이의 틈이 넓고 윗입술의 콧수염을 위로 올린 후 두 끝을 구부려 낙천적인 모습을 지니고 있다. 몸체 부분에 ‘남정중(南正重)’이라는 글이 새겨져 있다.
마을 쪽을 바라보고 있는 할머니 벅수는 160cm 크기에 머리 길이가 67cm이다. 사모나 전립을 쓰지 않은 전형적인 민머리형 벅수이다. 눈은 타원형으로, 코는 삼각형으로 길게 표현했으며, 이빨이 드문드문 빠진 것으로 새겼다. 목 부위에서 가슴 쪽을 약간 넓게 표현해 등이 약간 굽은 것처럼 보임으로써 시골의 나이 든 할머니 모습을 그대로 느낄 수 있다. 몸체 부분에는 ‘화정려(火正黎)’라는 글을 새겼다.
한편, 벅수를 세우기 전에는 목장승이 현 위치에 서 있었다고 한다. 그리고 목장승이었을 때에도 명문은 현재와 같은 남정중과 화정려였다고 하며, 주민들은 명문의 의미를 남자와 여자로 알았다고 한다. 목장승에서 석장승으로 바뀌게 된 이유에 대해서 마을 사람들은 목장승이 세월이 지나면 매번 썩어 다시 세워야 하는 번거로움이 있어 이를 피하고자 석장승을 세우게 되었다고 하며, 장승을 세우기 위해 마을 사람들이 돈을 약간씩 부담하였다고 한다. "
개도,역사와 문화,대표 인물 및 설화,전설/설화,개도에 전해져 내려오는 전설이나 옛날이야기를 해줘.,"1) 용바위 전설
개도에는 꿈을 잃어버린 아이에 대한 전설이 다음과 같이 전해지고 있다.
옛날 김씨 성을 가진 가난한 농부가 살고 있었는데, 어느 날 그 부인의 꿈에 영롱한 햇살이 비치는 둥근 해가 입 안으로 들어오는 태몽을 꾸었다. 그 후 아이를 출산하자 사내아이의 겨드랑이에 조그마한 날개깃이 돋아나 있었다.
아이가 돌 쯤 되었을 때 부부는 곡식을 마당에 널어놓은 채 밭에서 일하고 있었다. 갑자기 비가 쏟아지자 부부는 허둥지둥 집으로 돌아왔지만 마당에 널어놓았던 곡식과 멍석이 처마 밑에 가지런하게 정리되어 있었다.
며칠 후 또다시 비가 내려 집으로 돌아와 보니 마찬가지로 말끔히 치워져 있었다. 부부는 어찌된 영문인지를 알고자 비가 올 것 같은 날씨를 택해 일부러 곡식을 마당에 널어놓고 숨어서 지켜보았다.
마침 비가 내리자 한 살밖에 안 되는 아이가 마당으로 나와서 곡식과 멍석 등을 말끔히 치워놓고 방으로 들어가는 것이었다. 이 광경을 지켜본 김씨 부부는 놀라움과 두려움에 어찌할 바를 몰랐다.
부부는 이 아이가 틀림없이 하늘에서 점지해 준 장수감이라고 생각했다. 하지만, 이 사실이 다른 사람들에게 알려지면 금방 소문이 퍼져 결국은 역적으로 몰릴 것이고, 아이는 물론 가족도 모두 죽을 것이라고 판단했다.
부부는 여러 날 동안 궁리한 끝에 결국은 아이를 죽이기로 작정했다. 마을 사람들의 눈을 피해 눈물을 흘리면서 배에 태워 멀리 바다로 나갔다. 그리고 아이의 발목에다 큰 돌을 묶어 바다 속에 던져버렸다.
그러나 아이는 바다 위로 솟구쳐 나와 오른손으로 뱃전을 붙잡았다. 놀란 부부는 도끼로 오른손목을 잘라 버렸다. 그러자 아이는 다시 왼손으로 뱃전을 붙잡으면서 “오른손이 없는 장수가 무슨 뜻을 이룰 수 있겠는가?”하면서 물속으로 들어가 버렸다. 그때 갑자기 하늘에서 천둥번개가 치면서 폭우와 함께 거센 파도가 일었으며, 청룡 한 마리가 남면 함구미 쪽으로 향하여 날아갔다.
지금도 산 위에 있는 큰 바위에는 죽은 아이의 영혼이 가지고 놀았다는 담뱃대, 숟가락, 젓가락을 놓은 자국이 남아있고, 마을 사람들은 이 바위를 ‘산 바위’ 또는 ‘용 바위’라고 부르고 있다.
2) 화산마을 마녀목 전설
화산마을에는 높이 약 30m, 둘레 10m 정도의 느티나무가 있는데, 400년 이상 자란 것으로 전해지고 있으며, 해방 직후 심은 3그루의 느티나무와 군락을 이루고 있다. 그 가운데 가장 오래된 나무가 ‘복녀와 앞다리가 부러진 말’의 전설이 서린 ‘마녀목’이다.
조선 시대에는 지금의 화양면 지역을 ‘곡화(曲華)’라고 하였으며, 화동 마을에 말을 사육·관리하는 감목관이 파견되어 화양면 일대는 물론 백야도, 개도, 제도, 낭도와 같은 섬에서도 말을 길러 나라에 바치게 했다.
그런데 개도 목장에서 원인을 알 수 없는 병이 돌아 계속 말이 죽어가자 말을 맡아 기르던 책임자가 심한 문책을 받고 쫓겨나게 되었다. 후임으로 이 마을에 살고 있던 ‘이돌수’라는 사람이 말 사육사로 뽑히게 되자 그는 뒷산 봉우리에다 돌로 제단을 쌓았다.
“천지신명님! 목장에서 말들이 죽어가고 있습니다. 말을 죽이는 질병을 없애 주십시오.”
이돌수는 아침, 저녁으로 정성껏 빌었다. 지극한 정성 탓이었던지 그 후부터 목장의 말들이 죽어가는 일이 없어졌다. 이돌수에게는 ‘복녀’라는 열네 살짜리 딸이 하나 있었다. 복녀는 날마다 아버지를 도와 말을 돌보았다. 열심히 말들을 돌보았기 때문에 말들하고도 친하게 지냈는데, 특히 검은 점이 박힌 흰말이 유난히 복녀를 따랐다.
어느 날 복녀는 검은 점이 박힌 백마가 앞다리가 부러져 신음하고 있는 것을 발견했다. 복녀는 아버지께 달려가서 “아버지! 점박이 말의 앞다리가 부러졌어요.”라고 알렸다.
 “큰일이구나, 말이란 짐승은 다리에 힘이 없으면 죽은 것과 다름이 없단다. 다리가 부러졌으니 이제 쓸모없는 말이 되고 말았다. 감목관에게 보고하여 폐마시켜야겠다.”라고 아버지는 매우 근심스럽게 이야기했다.
이 말을 들은 복녀는 아버지에게 매달려 애원했다. “아버님! 저 말을 소녀에게 맡겨 주시면 반드시 다리를 고쳐서 명마로 만들어 보겠습니다. 부디 제 소원을 들어주십시오.”
 “네 뜻이 그렇다면 열흘 내에 치료를 해야 한다. 그 동안에 말이 움직이지 못하면 어쩔 수 없이 죽여야 한단다.” 아버지는 복녀의 부탁을 들어주었고, 복녀는 정성을 다해 말을 간호했다. 그리고 아버지가 쌓아 놓은 뒷산 산봉우리의 제단에서 빌었다.
어느 날 밤, 복녀가 말을 보살펴 주다가 너무 피곤한 나머지 깜박 잠이 들고 말았다.
 “복녀야! 나는 이 산의 산신령으로 너의 정성이 하도 지극하여 너를 도우려고 왔다. 내가 점박이 말이 나을 수 있는 약을 일러줄 것이니 똑똑히 듣거라. 네가 밤마다 지성을 드리던 제단 옆 옹달샘에 가면 가재가 있을 것 이다. 옹달샘에서 가재 세 마리를 잡아서 말에게 먹이면 반드시 효험이 있을 것이다.”라고 말하고 사라졌다.
복녀가 깜짝 놀라서 깨어보니 꿈이었다. 이상한 꿈이어서 옹달샘으로 달려갔더니 그곳에는 가재가 있었고, 세 마리를 잡아서 말에게 먹였다. 그 날 밤도 복녀는 제발 말이 낫기를 바라면서 정성껏 빌고 또 빌었다.
“말이 뛰어 다닐 수 있게 도와주십시오. 산신령님, 신령님의 말씀대로 가재를 잡아서 말에게 먹였습니다. 꼭 제 소원을 들어주십시오.” 두 손을 모아 빌면서 밤을 지샜다.
날이 밝자 마자 복녀는 말이 있던 곳으로 달려갔지만 있어야 할 말이 보이지 않아 소스라치게 놀랐다.
 “히이힝 히힝....” 갑자기 우렁찬 말울음 소리가 들렸다. 복녀가 말울음 소리가 들리는 쪽을 보니 산봉우리에 점박이 말이 늠름하게 서 있었다.
“점박아!”
복녀는 말을 보고 크게 소리쳐 불렀고, 말은 쏜살같이 복녀에게로 달려왔다. 복녀는 너무나 기뻐서 어찌할 줄을 몰랐다. 그 때 점박이 말이 앞발을 들고 땅을 차며 머리를 숙였다. 복녀는 점박이 말을 부둥켜안고 기쁨의 눈물을 흘렀다. 그 후부터 복녀와 점박이 말은 잡시도 떨어지지 않고 친하게 지냈다.
그러던 어느 날, 화동에 있던 감목관이 개도 목장으로 와서 대장군이 탈 군마를 고르고 있었다. 그런데 하필이면 복녀하고 가장 친한 점박이 말이 뽑혔고, 복녀는 이 사실을 알고 눈앞이 캄캄해졌다. 그러나 복녀에게는 어찌할 도리가 없었으며, 끌려가는 점박이 말도 복녀와의 이별을 서러워하였다. 가지 않으려고 뒷걸음을 치면서 우는 말을 보고 복녀와 아버지도 함께 울었다.
점박이 말과 헤어진 복녀는 점박이 말과 함께 지내던 곳에 느티나무 한 그루를 심었다. 그 후 복녀는 병이 들어 자리에 눕고 말았고, 병세는 점점 악화되어 갔다.
6개월이 지난 어느 날 새벽, 복녀 아버지가 목장의 느티나무가 있는 곳으로 갔을 때 뜻밖에도 나무 옆에 숨져 있는 말을 발견하게 되었다. 자세히 살펴보니 복녀가 좋아하던 점박이 말이었다. 말 등에는 화려한 안장과 굴레가 덮여있어 대장군이 탔던 말이라는 것을 쉽게 알 수 있었다.
점박이 말은 복녀를 만나기 위한 바람으로 군대에서 탈출한 뒤, 산과 계곡을 달리다 입은 상처가 너무 깊고, 강과 바다를 건너면서 너무 많은 피를 흘렸지만 기어이 이곳까지 와서 죽은 것이었다.
 “복녀야 점박이가 왔다.”
아버지는 급히 뛰어가서 복녀에게 소리쳤지만 대답이 없었다. 이상하게 여긴 아버지가 방문을 열고 들어가 보니 복녀는 너무나 행복한 미소를 짓고 죽어 있었다. 아버지는 복녀와 점박이 말을 느티나무 옆에 나란히 묻어주었다.
사람들은 그 느티나무를 ‘마녀목’이라 불렀다. 그 때부터 이 마을 사람들은 남의 은혜에 감사할 줄 모르는 사람을 가리켜 점박이 말만도 못한 사람이라고 부른다.
3) 모전마을 몽돌전설
옛날 경주정씨가 이곳에 도착하여 이씨 처녀와 인연을 맺었다. 이들 사이에 아이가 생겨 낳으려는데, 산모의 꿈에 신령님이 나타나 “이 아이는 천상에서 대역죄를 지은 아이니 그 아이의 몸에 두른 부적띠로 새끼를 꼬아서 묶은 뒤 바다에 던져 죽여라.”라고 하였다
이 부부는 신령님의 계시대로 아이의 몸에 두른 부적으로 새끼를 꼬아서 묶은 뒤 바다에 던져 죽였다. 시체가 바닷가로 밀려오자 부부는 부적으로 시체를 덮어 바닷가 묻었는데, 이때 갑자기 천둥번개가 치면서 자갈이 밀려들어 순식간에 아이의 무덤을 덮어 버렸다고 한다. 그 아이의 무덤이 지금의 모전 자갈밭이 되었다고 한다.
"
개도,생활과 민속,생활 문화,의식주,과거 개도 주민들의 의식주 생활은 어땠어?,일제강점기 김한승과 임두보가 김양식은 시도하였다. 완도에서 대발을 약간 이식하여 와서 개도 불무섬 사이에 해태 김의 다른 이름이 해태였다. 인공양식을 하여 성공하여. 김한승씨가 자재와 시설물 등을 개도주민에게 제공하고 기술지도를 하여 개도는 주민 90%가 해태양식에 참여하게 되었다. 이로인해 개도는 “돈섬”이란 별명까지 있었다.
개도,생활과 민속,생활 문화,향토 음식,개도 사람들이 즐겨 먹는 향토 음식이 있다면 소개해 줘.,"무밥이나 톳밥, 뜸부기밥 등도 많이 해먹었다. 개도에는 둥글레 뿌리로도 밥을 해먹었다고 한다. "
개도,생활과 민속,신앙 및 의례,전통 풍습,개도에서 전통적으로 내려오는 마을 제사나 풍습이 있어?,"1) 화산마을 천제와 당산제
개도 화산마을에서 지내는 공동 제의는 천제(天祭)와 당산제가 있다. 천제는 음력 3월 1일 자시에 지내고, 당산제는 3월 2일 오후 5시경에 지낸다. 제사를 3월 1일과 2일에 모시는 이유는 정확히 알지 못하고 다만 예전부터 그렇게 지내오고 있어 따르고 있다고 한다.
천제를 지내는 곳은 천제봉으로, 마을 뒷산 정상 부근에 있다. 이곳에는 돌로 쌓아 만든 넓은 제단이 있어 이를 ‘상당’이라 한다. 상당 아래 산 중턱에는 기휘집이 있다. 기휘집은 천제를 지내기 앞서 몸과 마음을 닦고 정성을 드리는 곳이다.
당산제를 지내는 곳은 마을 옆에 있는 ‘천제당(天祭堂)’이며, 예전에는 기와집이었으나 현재는 정면 2칸, 측면 1칸의 콘크리트 기와지붕으로 지어 사람들은 이곳을 ‘하당’이라 부른다.
천제당 내부에는 제기가 보관되어 있으며, 지난 해에 제물로 쓴 명태 한 마리가 천장에 매달려 있다고 하지만, 천제당은 제사를 모실 때 외에는 공개하지 않아 확인하기가 어렵다.
천제당을 공개하지 않는 이유는, 예전에 당집 안에 구리로 만든 말 한 마리를 모셔두었는데, 도난당하였기 때문이며, 말을 모셔 두고 제사를 지낸 이유는 예전에 개도가 말을 키우던 목장이 있어 말들이 건강하게 잘 자라도록 기원하는 의미라고 한다.
상당의 신격은 동(東) 청제지신(靑帝之神), 서 백제지신, 남 홍제지신, 북 흑제지신, 중앙의 황제지신과 칠성신이다. 하당의 신격은 당산 할아버지와 할머니로, 상당의 신은 천신이고, 하당의 신은 마을 신이라고 인식하고 있다.
제관을 ‘당주’라고 하며, 음력 2월에 마을 총회에서 결정한다. 생기복덕을 보아 적당한 사람이면서 부정이 없는 사람이어야 한다. 예전에는 당주를 3명 선출하였으나, 8년 전부터는 이장이 의무적으로 참석하고 1명만 총회를 통해 선출한다.
당주는 상당과 하당의 제사를 모두 지내는데, 당주로 선출되면 3일 전에 모든 제물을 준비하여 기우집으로 올라가 치성을 드리면서 제사를 올릴 준비를 한다.
메를 지어 올릴 쌀을 7되 정도 준비하여 매일 찧고 까불어서 싸래기나 반조각 쌀을 걸러내 온전한 낟알만 골라 2되 정도로 추려낸다. 이 쌀을 무명베로 만든 자루에 넣어 매일 한 번씩 씻어서 말린다.
3월 1일 오후에 이 쌀을 씻어 물을 걸러 두었다가 밤 10시쯤 상당으로 올라간다. 상당으로 올라가기 전 샘에서 목욕재계를 하고 새 옷으로 갈아입는다. 상당에 도착하면 입에 마스크를 쓰고 솥에다 시루를 올려 쌀을 쪄서 메를 짓는다.
메가 다 지어지면 조그만 그릇에 메 7개를 담는다. 제단 위에 5그릇과 아래에 메 2그릇을 놓는다. 메 5그릇은 상당의 신격인 동_청제지신, 서_백제지신, 남_홍제지신, 북_흑제지신, 중앙_ 황제지신에게 올리는 것으로, 방위에 따라 제물을 차리고, 메 2그릇은 칠성신과 뒷전 밥이다.
하당의 제물로는 당주집에서 가져 온 떡, 굴비, 마른명태 등과 각종 전류, 메밀범벅, 과실, 탕, 닭고기, 메, 국 등이다.
제의 순서는 상당의 경우, 분향, 제물 진설, 재배, 소지, 헌식의 순으로 진행되고, 하당은 분향, 제물 진설, 헌작, 재배, 헌작, 재배, 소지, 헌식, 무당굿 순으로 진행된다. 축문은 기록되어 있지 않으며, 다만 제를 지낼 때 소지를 올리면서 마을의 평안과 풍농, 풍어를 기원하고 있다.
당산제가 끝나면 무당이 무당굿을 하고 마을의 메구꾼들이 메구를 친다. 마을 사람들은 이를 헌식하며 논다고 말한다. 무당은 여수에서 2명이 온다. 이들은 3월 2일에 와서 3일에 돌아간다.
이후 당산제 상에 올렸던 제물을 한지에 쌓아 8개를 만든다. 그리고 메구를 치면서 마을 주위에 있는 8당산에 하나씩 묻는다. 당산에 제물 묻기가 모두 끝나면 당주집으로 가서 음식을 먹고 메구를 치면서 놀다가 헤어진다.
예전에 천제와 당산제를 한 번 모시지 않은 적이 있었는데, 이때 마을에 나쁜 일이 생겨 다시 모시게 되었다. 또한 제를 잘못 모시면 바로 나쁜 일이 생긴다고 하는데, 제관이 제를 잘못 모신 후 바로 죽은 경우도 있었다고 한다. 당제를 지내고 헌식을 할 때에는 다른 마을 사람들이 구경왔으며, 여수에서 엿장수까지 왔다고 한다.
당제를 지내고 다음 날인 3월 3일 오전 9시쯤 용왕님을 모시는 용왕제가 마을 앞 바닷가에서 행해진다. 당주가 큰 상 하나를 차려 내고, 각 집에서 준비한 헌식상을 줄을 지어 놓고, 당주집에서 만든 떡과 술을 각 집에서 나온 상에 나누어 준 다음 당주와 집사가 잔을 올리고 재배한다.
이어서 무당이 용왕굿을 하며, 오후 1시쯤에 짚으로 만든 ‘오장치’를 깨끗한 사람에게 메게 하고 메구를 치면서 각 상을 한바퀴 돌며, 모든 상에서 제물을 조금씩 떼어다가 오장치 속에 넣는다. 오장치를 진 사람은 바닷가로 가서 바닷물 속에 오장치를 던져 가라앉게 함으로써 용왕님을 대접하고 풍년과 풍어를 기원한다.
이후 무당은 제물을 조금씩 떼어 내어 바가지에 담아 물밥을 만들어서 바닷가에 부어 놓는데, 이는 수중고혼을 달래는 의미이다. 모든 절차가 끝나면 메구를 치면서 온 마을 사람들이 함께 음식을 나누어 먹으며 즐겁게 논다. 예전에는 자식이 없는 사람이 오장치를 짊어지고 가면 아들을 낳는다고 하여 메고 가기도 했다.
2) 여석마을 당제
여석마을에는 음력 삼월 삼짇날 마을 옆 속칭 ‘당섶산’에 있는 당집에서 먼저 제를 지내고, 이후 장승 앞과 마을 구석구석 여러 당에도 제를 올렸다고 한다. 
1980년대 후반부터 다른 마을에서도 제를 지내지 않자 여석마을에서도 제를 모시지 않았다고 한다. 2000년대 초반까지만 하더라도 마을의 어른들은 다시 당제를 모시고자 했지만 젊은 사람들이 반대하여 결국 당제가 중단되고 말았다."
개도,주요 자원 및 현황,관광 자원,체험 활동,개도에서 즐길 수 있는 체험 활동이 있어?,청석포에서 글램핑을 하는 관광객이 급증하고 있음 
개도,주요 자원 및 현황,당면 과제,현안,개도가 현재 겪고 있는 가장 큰 어려움은 뭐야?,노령화와 인구감소
개도,주요 자원 및 현황,미래 전망,발전 계획,개도의 발전을 위해 어떤 계획들이 추진되고 있어?,연륙연도교 공사가 한창인데 2028년에 완공되면 
개도,주요 자원 및 현황,미래 전망,전망,개도의 미래 전망에 대해 어떻게 생각해?,2026여수세계섬박람회 이후 대표적인 관광지로 발돋음할 것이다.
제도,섬의 개요,기본 정보,이름 유래,제도라는 이름은 어디서 유래했어?,길게 늘어선 모양인 우리말 ‘지리섬’에서 유래한 것처럼 보이지만 주민들은 제비의 사투리 말인 ‘지비섬’으로 더 각인되어 있다. 
제도,섬의 개요,기본 정보,이름 유래,제도는 왜 제도라고 불리게 된 거야?,제도는 섬의 형세가 제비모양처럼 생겼다 하여 ‘제리도(濟里島)’라 하였다가 
제도,섬의 개요,기본 정보,행정구역,제도의 행정구역상 주소는 어떻게 돼?,여수시 화정면 제도리
제도,섬의 개요,기본 정보,면적,제도의 전체 면적은 얼마야?,1.096㎢
제도,섬의 개요,지리적 위치,위치,제도의 지리적 위치에 대해 설명해 줘.,"제도는 북으로 백야도, 남으로 개도 사이에 위치하는 작은 섬이다. "
제도,섬의 개요,지리적 위치,주변 환경,제도 주변에는 어떤 섬들이 있어?,"인근에 상화도, 하화도, 자봉도가 있으며, 부속무인도서로 큰여와 도막여 등이 있다."
제도,섬의 개요,지리적 위치,주변 환경,제도에서 가장 가까운 육지는 어디야?,여수시 화양면 힛도마을
제도,섬의 개요,교통 및 접근성,선박 정보,제도에 들어가려면 어떻게 해야 해?,현재 연륙연도교 공사중이라서 여수여객선터미널에서 한려페리9호가 운항 중에 있다.
제도,섬의 개요,교통 및 접근성,선박 정보,여수에서 제도로 가는 배편 정보를 알려줘.,"여수여객선터미널에서 오전은 동계 하계 공통으로 오전 6시 10분에  출발해 7시에 도착한다. 오후 여객선은 하계에는 오후 2시 50분에 출발해서 3시 40분에 도착하고 동계에는 2시 20분에 출발하여 3시 10분에 도착한다.
백야도에서는 태평양3호가 운항하며 오전 7시, 8시 25분, 10시 40분, 11시 55분, 오후 2시, 3시 10분에 출발한다."
제도,섬의 개요,교통 및 접근성,소요 시간,제도까지 배로 얼마나 걸려?,"여수여객선터미널에서 50분이 소요되며, 백야선착장에서는 10분 정도 걸린다."
제도,섬의 개요,교통 및 접근성,섬 내 교통,제도 내의 주요 교통수단은 뭐야?,제도는 크지 않은 섬이라 주로 오토바이나 전동차를 많이 이용하고 해안가 도로에는 자동차로 이동한다. 
제도,자연환경,지형 및 지질,지형 특징,제도의 지형적 특징은 뭐야?,"제비와 유사한 모양의 제도는 남북으로 좁고 길게 뻗어 있고, 경사가 완만한 구릉지를 이루고 있으며 해안은 주로 암석해안이 발달하였다."
제도,자연환경,지형 및 지질,최고점,제도에서 가장 높은 곳은 어디야?,요막산(요망산) 85m
제도,자연환경,지형 및 지질,해안선,제도의 해안선은 어떤 특징을 가지고 있어?,"제도항에서 북서쪽에 위치한 사빈은 곶과 곶 사이에 작은 만입부 연안류에 운반된 모래가 퇴적되어 형성된 것이고, 제도항 서쪽에 위치한 역빈은 곶과 곶 사이에 작은 만입부 연안류에 운반된 모래가 퇴적되어 형성된 것이다. 한편, 요막산 북쪽 협만에 간석지가 발달하여 일제강점기 때, 주민들의 노동력으로 간척이 이뤄졌다."
제도,자연환경,생태계,식물상,제도에는 어떤 식물들이 주로 서식해? 대표적인 식물 군락이 있어?,"제도에 자생하는 상록활엽수종은 참식나무, 구실잣밤나무, 동백나무, 후박나무, 생달나무, 사스레피나무, 마삭줄, 송악, 자금우 등이 출현하고 있다.
주요 식생은 섬 전체적으로 곰솔군락이고 널리 분포하고 있으며, 부분적으로 낙엽활엽수림인 소사나무군락이 분포하고 있다. 섬의 중앙부를 중심으로 어가와 농경지가 있고 발달해 있으며, 장기간 방치된 휴경지에는 노방잡초군락인 칡군락, 망초군락, 여뀌군락, 억새군락, 환삼덩굴군락, 바랭이군락 등이 출현하였다. "
제도,자연환경,생태계,동물상,제도에서 볼 수 있는 동물에는 무엇이 있어?,"인근의 개도와 비슷하며, 파충류, 곤충류, 조류, 포유류 등이 출현한다."
제도,자연환경,생태계,해양 생물,제도 주변 바다의 해양 생태계는 어때? 어떤 어종이 주로 잡혀?,"조간대 암반조사 결과 총 34종이 출현하였으며 해면동물 2종, 자포동물 2종, 연체동물 23종, 환형동물 1종, 절지동물 6종으로 구성되어있다. 해조류에서는 총 29종으로 녹조류 4종, 갈조류 8종, 홍조류 17종이 서식하였다.  해초류는 제도마을 앞 항내에서 다수의 거머리말 군락이 관찰되었다.
노래미와 감성돔이 많이 잡힌다."
제도,인문·사회 환경,인구 및 마을,인구 수,현재 제도에는 몇 명 정도 살고 있어?,2021년 1월 기준 57세대 91명이 살고 있다.
제도,인문·사회 환경,인구 및 마을,마을 정보,제도에 있는 주요 마을 이름과 그 유래를 알려줘.,"제도는 제도마을 1개만 있으며 임진왜란 당시 옥천육씨(沃川陸氏)가 난을 피하기 위해 처음 입도한 후 나주임씨(羅州林氏), 성주배씨(星州裵氏), 김해김씨(金海金氏), 달성서씨(達城徐氏), 밀양박씨(密陽朴氏)가 마을을 형성하였다고 한다. "
제도,인문·사회 환경,인구 및 마을,인구 구성,"제도의 인구 구성(연령, 성별)은 어때?","2021년 1월 기준 남성이 46명, 여성이 45명으로 거의 비슷하다. 노령화가 심하다."
제도,인문·사회 환경,주요 산업 및 경제,주요 생업,제도 주민들은 주로 어떤 일을 하면서 살아?,"방풍 농사를 인근의 다른 섬에 비해 많이 하고 있으며, 텃밭에서 간단한 작물을 재배한다. 어촌계를 중심으로 바지락을 생산하거나 미역과 톳을 생산한다."
제도,인문·사회 환경,주요 산업 및 경제,주요 산업,"제도의 주된 산업은 어업이야, 아니면 농업이야?",노령화로 농사를 짓는 사람이 더 많다.
